Training-set,CASF-2016,PDBbind2017-2020,CSAR
11gs,1a30,5kcv,2ou0
13gs,1bcu,5os1,1zhx
16pk,1bzc,6cjp,3ene
1a07,1c5z,4k1e,2pzv
1a08,1e66,5dva,2z8f
1a09,1eby,5vfj,2qmj
1a0q,1g2k,5dp4,1q6e
1a0t,1gpk,3vd4,3c7i
1a1b,1gpn,5ne3,2otz
1a1c,1h22,6cq5,1w3k
1a2c,1h23,5q12,2dm5
1a37,1k1i,5lav,2idz
1a3e,1lpg,6gvx,2cjp
1a42,1mq6,5exn,1uzv
1a46,1nc1,5y20,1y93
1a4g,1nc3,5lc0,1q6g
1a4h,1nvq,5yjb,2p3t
1a4m,1o0h,6q96,1q0y
1a4q,1o3f,5knj,1uld
1a50,1o5b,5aac,2v8q
1a52,1owh,5nps,4ubp
1a5g,1oyt,5z66,2qvu
1a5h,1p1n,5t28,2add
1a5v,1p1q,5v37,2arb
1a61,1ps3,6ex1,2qeh
1a7c,1pxn,5f4n,2r3d
1a7t,1q8t,6o21,1xl5
1a7x,1q8u,5qa4,2v7v
1a85,1qf1,6o3y,1hnn
3i7g,1qkt,6m88,1w6o
3i7i,1r5y,5uy8,2jdy
3i81,1s38,6fff,2jdu
3i8t,1sqa,6hay,2q6m
3i90,1syi,6ep4,2b3f
3i91,1u1b,6nel,2are
3i97,1uto,5tzo,
3ia6,1vso,3ebp,
3iad,1w4o,5t9z,
3iaf,1y6r,5ad1,
3iaw,1yc1,1uto,
3ibc,1ydr,6i64,
3idp,1ydt,5maj,
3iej,1z6e,6n48,
3ieo,1z9g,6ai9,
3iet,1z95,6apz,
3if7,2al5,5gx6,
3ifo,2br1,6dkb,
3ifp,2brb,5g3n,
3ig1,2c3i,5ksv,
3ig6,2cbv,5jga,
3ig7,2cet,3wz8,
3igb,2fvd,6aa4,
3igg,2fxs,5lyh,
3igv,2hb1,5th7,
3ihz,2iwx,5tkd,
3ii5,2j7h,5jo0,
3iit,2j78,1h22,
3iiw,2p4y,5sz7,
3iiy,2p15,5jv2,
3ij0,2pog,3e93,
3ij1,2qbp,6g9f,
